filename,true_class,pred_class,confidence,is_correct
pred_Fillings__0009_jpg.rf.957a0a16c5101765b0679e95eb9619a3_segment_278.png,Cavity,Fillings,0.5325735807418823,False
pred_Fillings__0669_jpg.rf.f1e2059357f8ba42a2c88434285180de_segment_428.png,Cavity,Cavity,0.993965208530426,True
pred_Fillings__0905_jpg.rf.93c5b0e9d232f394f6cedf1c8f3879f4_segment_198.png,Cavity,Fillings,0.999177873134613,False
pred_Implant__0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d_segment_430.png,Cavity,Implant,0.8048359751701355,False
pred_Normal__0038_jpg.rf.e13603a0be37e61c53a3b781040ce9f7_segment_461.png,Cavity,Normal,0.9464454054832458,False
pred_Normal__0053_jpg.rf.0a39e4969cb730a0e08d415d819e14d9_segment_30.png,Cavity,Normal,0.9580453634262085,False
pred_Normal__0151_jpg.rf.5b81ded715693313866503d5a4da1639_segment_124.png,Cavity,Normal,0.9608815908432007,False
pred_Normal__0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d_segment_432.png,Cavity,Normal,0.969997227191925,False
pred_Normal__0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d_segment_434.png,Cavity,Cavity,0.7369478344917297,True
pred_Normal__0485_jpg.rf.09576812fc790cab5da2f6a5ceafe25f_segment_25.png,Cavity,Cavity,0.988874077796936,True
pred_Normal__0669_jpg.rf.f1e2059357f8ba42a2c88434285180de_segment_429.png,Cavity,Cavity,0.994186282157898,True
pred_Normal__0905_jpg.rf.93c5b0e9d232f394f6cedf1c8f3879f4_segment_196.png,Cavity,Normal,0.8330103754997253,False
pred_Normal__0905_jpg.rf.93c5b0e9d232f394f6cedf1c8f3879f4_segment_200.png,Cavity,Cavity,0.6902698278427124,True
pred_Cavity__0936_jpg.rf.8243a9dd5334cd97eea92b8d4a59439e_segment_208.png,Fillings,Fillings,0.8705379366874695,True
pred_Impacted Tooth__0649_jpg.rf.b7d1c07a5deeb45e8fa8a2a076f504fd_segment_243.png,Fillings,Fillings,0.9293909072875977,True
pred_Implant__0140_jpg.rf.c65d9d0adf1e201a0bbca3c2f9cf2a08_segment_374.png,Fillings,Fillings,0.8307982087135315,True
pred_Implant__0323_jpg.rf.2bd124050fdcb8c212a28a98519b6f5c_segment_79.png,Fillings,Fillings,0.7377576231956482,True
pred_Implant__0762_jpg.rf.65fd543f0d87cc9d38dc1968abb4d2c7_segment_177.png,Fillings,Normal,0.5801603198051453,False
pred_Normal__0061_jpg.rf.3188dc5179f4b6d600459b1aeba93e87_segment_129.png,Fillings,Normal,0.9727339744567871,False
pred_Normal__0061_jpg.rf.3188dc5179f4b6d600459b1aeba93e87_segment_131.png,Fillings,Normal,0.7072187066078186,False
pred_Normal__0074_jpg.rf.bc31f3d89ccb17453e7558a14bd6d5de_segment_330.png,Fillings,Normal,0.9235418438911438,False
pred_Normal__0095_jpg.rf.d7773e0afb13f54a3e6244079b483ab2_segment_444.png,Fillings,Fillings,0.9696459770202637,True
pred_Normal__0136_jpg.rf.03e2aec8ec77594665dd1abc68d47bd3_segment_12.png,Fillings,Fillings,0.9366539120674133,True
pred_Normal__0136_jpg.rf.03e2aec8ec77594665dd1abc68d47bd3_segment_5.png,Fillings,Fillings,0.8109374642372131,True
pred_Normal__0186_jpg.rf.bce5a4ca22bfadf46df9667fdef8638d_segment_320.png,Fillings,Fillings,0.8709692358970642,True
pred_Normal__0239_jpg.rf.1e1cbd283aab8fb5c4b9822c5970d3ed_segment_61.png,Fillings,Normal,0.9501509070396423,False
pred_Normal__0246_jpg.rf.653968dbb7a7ed4af2e12a5cca61d0e8_segment_168.png,Fillings,Normal,0.8342965245246887,False
pred_Normal__0403_jpg.rf.ba4274213b37ecd7b0bbd731d1eab084_segment_338.png,Fillings,Normal,0.6937723755836487,False
pred_Normal__0403_jpg.rf.ba4274213b37ecd7b0bbd731d1eab084_segment_341.png,Fillings,Normal,0.7923920154571533,False
pred_Normal__0428_jpg.rf.314f2ee0551f5c46c3b5fbb7b3b4026e_segment_109.png,Fillings,Normal,0.9811611771583557,False
pred_Normal__0445_jpg.rf.c1b87e7bf4165d062bf6dcfbb56f2c18_segment_351.png,Fillings,Cavity,0.9804624319076538,False
pred_Normal__0445_jpg.rf.c1b87e7bf4165d062bf6dcfbb56f2c18_segment_356.png,Fillings,Fillings,0.9967660903930664,True
pred_Normal__0688_jpg.rf.152fb99de9e0af07c5546e20e966b140_segment_43.png,Fillings,Normal,0.9935007691383362,False
pred_Normal__0750_jpg.rf.52761b15b0cc29d4193f20bca8abf978_segment_211.png,Fillings,Normal,0.9877870678901672,False
pred_Normal__0846_jpg.rf.21922087f9d9ce3b24ba1f2f3557ce5e_segment_70.png,Fillings,Normal,0.6438794732093811,False
pred_Normal__0898_jpg.rf.df4ec6f79f149df99ada80674fab2c0a_segment_415.png,Fillings,Normal,0.9988563060760498,False
pred_Normal__0976_jpg.rf.83d1e5e77aacc0d1c648682aa54ecd06_segment_191.png,Fillings,Fillings,0.8392054438591003,True
pred_Normal__0060_jpg.rf.f094ea29e65bf0c78188acbcbc5c8dcd_segment_451.png,Impacted Tooth,Normal,0.9646512269973755,False
pred_Normal__0161_jpg.rf.a54ad347955227c3eb7d1cfb1af9c51e_segment_218.png,Impacted Tooth,Normal,0.7078496813774109,False
pred_Normal__0213_jpg.rf.6304d5ebe5f8c87c3a8ed5495cc2bd58_segment_203.png,Impacted Tooth,Normal,0.7436443567276001,False
pred_Normal__0215_jpg.rf.ae6fc0091ff7dab5bf8eab5a2ada7272_segment_270.png,Impacted Tooth,Normal,0.9943615198135376,False
pred_Normal__0273_jpg.rf.b74071d5766afa414178c51aeefc1e9d_segment_273.png,Impacted Tooth,Normal,0.8652396202087402,False
pred_Normal__0700_jpg.rf.1cf7f2dd7c9cd0a65b6213009e8cc43d_segment_53.png,Impacted Tooth,Normal,0.9798910021781921,False
